FECHA (YYMMDD);HORA (HHMM);;
180811;0100;85,3175;
180811;0200;233,514;
180811;0300;10,7377;
180811;0400;54,0131;
180811;0500;190,668;
180811;0600;140,253;
180811;0700;80,4808;
180811;0800;179,874;
180811;0900;308,669;
180811;1000;301,311;
180811;1100;299,483;
180811;1200;330,843;
180811;1300;236,133;
180811;1400;260,616;
180811;1500;301,414;
180811;1600;3,36012;
180811;1700;47,0155;
180811;1800;289,151;
180811;1900;258,708;
180811;2000;141,3;
180811;2100;109,343;
180811;2200;109,153;
180811;2300;83,8488;
180812;0000;71,0281;
180812;0100;77,2665;
180812;0200;57,2927;
180812;0300;68,2491;
180812;0400;76,1512;
180812;0500;64,3475;
180812;0600;74,6763;
180812;0700;80,722;
180812;0800;114,646;
180812;0900;178,577;
180812;1000;244,184;
180812;1100;247,48;
180812;1200;250,996;
180812;1300;250,766;
180812;1400;252,714;
180812;1500;258,188;
180812;1600;238,536;
180812;1700;205,511;
180812;1800;122,311;
180812;1900;156,386;
180812;2000;86,0862;
180812;2100;83,1278;
180812;2200;156,496;
180812;2300;92,5793;
180813;0000;87,1757;
180813;0100;183,976;
180813;0200;280,027;
180813;0300;213,064;
180813;0400;166,485;
180813;0500;265,898;
180813;0600;116,097;
180813;0700;134,31;
180813;0800;293,987;
180813;0900;296,842;
180813;1000;283,983;
180813;1100;272,117;
180813;1200;269,95;
180813;1300;282,689;
180813;1400;264,637;
180813;1500;272,187;
180813;1600;262,702;
180813;1700;291,53;
180813;1800;278,512;
180813;1900;270,805;
180813;2000;293,236;
180813;2100;283,45;
180813;2200;303,477;
180813;2300;230,473;
180814;0000;233,813;
180814;0100;341,44;
180814;0200;107,381;
180814;0300;133,214;
180814;0400;78,2795;
180814;0500;308,363;
180814;0600;300,087;
180814;0700;302,53;
180814;0800;290,133;
180814;0900;295,062;
180814;1000;304,53;
180814;1100;303,622;
180814;1200;304,727;
180814;1300;305,394;
180814;1400;297,434;
180814;1500;299,111;
180814;1600;294,99;
180814;1700;288,038;
180814;1800;281,502;
180814;1900;298,842;
180814;2000;282,78;
180814;2100;306,474;
180814;2200;17,8058;
180814;2300;15,4583;
180815;0000;359,226;
180815;0100;110,727;
180815;0200;195,077;
180815;0300;153,228;
180815;0400;242,812;
180815;0500;207,572;
180815;0600;307,965;
180815;0700;327,443;
180815;0800;274,354;
180815;0900;293,009;
180815;1000;304,857;
180815;1100;294,914;
180815;1200;294,737;
180815;1300;301,34;
180815;1400;296,567;
180815;1500;298,358;
180815;1600;298,696;
180815;1700;302,996;
180815;1800;299,411;
180815;1900;303,79;
180815;2000;294,725;
180815;2100;26,1436;
180815;2200;47,2045;
180815;2300;236,389;
180816;0000;45,9503;
180816;0100;81,4231;
180816;0200;79,6979;
180816;0300;87,5763;
180816;0400;95,2438;
180816;0500;76,0811;
180816;0600;28,0322;
180816;0700;89,0111;
180816;0800;83,2738;
180816;0900;80,7302;
180816;1000;59,3356;
180816;1100;3,74115;
180816;1200;5,01216;
180816;1300;318,177;
180816;1400;293,874;
180816;1500;291,11;
180816;1600;311,323;
180816;1700;302,083;
180816;1800;258,005;
180816;1900;231,232;
180816;2000;253,164;
180816;2100;282,09;
180816;2200;278,228;
180816;2300;282,905;
180817;0000;299,448;
180817;0100;283,781;
180817;0200;292,058;
180817;0300;280,469;
180817;0400;286,564;
180817;0500;287,587;
180817;0600;291,706;
180817;0700;277,219;
180817;0800;15,6057;
180817;0900;238,764;
180817;1000;287,045;
180817;1100;345,166;
180817;1200;8,1929;
180817;1300;227,378;
180817;1400;299,863;
180817;1500;207,566;
180817;1600;239,319;
180817;1700;314,812;
180817;1800;1,42709;
180817;1900;317,384;
180817;2000;11,6385;
180817;2100;99,726;
180817;2200;344,889;
180817;2300;352,618;
180818;0000;55,9045;
180818;0100;118,077;
180818;0200;37,6056;
180818;0300;300,1;
180818;0400;293,198;
180818;0500;284,619;
180818;0600;225,816;
180818;0700;289,374;
180818;0800;301,08;
180818;0900;287,893;
180818;1000;288,675;
180818;1100;286,872;
