FECHA (YYMMDD);HORA (HHMM);;
180811;0100;186,928;
180811;0200;231,335;
180811;0300;37,0203;
180811;0400;73,7778;
180811;0500;245,984;
180811;0600;246,227;
180811;0700;75,5051;
180811;0800;206,363;
180811;0900;34,4141;
180811;1000;338,554;
180811;1100;307,74;
180811;1200;301,968;
180811;1300;208,137;
180811;1400;238,39;
180811;1500;276,27;
180811;1600;296,301;
180811;1700;250,607;
180811;1800;268,057;
180811;1900;253,55;
180811;2000;143,425;
180811;2100;102,891;
180811;2200;126,991;
180811;2300;81,5746;
180812;0000;64,3538;
180812;0100;69,8969;
180812;0200;59,8694;
180812;0300;59,2153;
180812;0400;66,4344;
180812;0500;58,8565;
180812;0600;77,1283;
180812;0700;97,7717;
180812;0800;325,242;
180812;0900;59,9143;
180812;1000;262,931;
180812;1100;256,093;
180812;1200;249,137;
180812;1300;242,015;
180812;1400;245,65;
180812;1500;248,141;
180812;1600;246,662;
180812;1700;239,843;
180812;1800;208,416;
180812;1900;148,198;
180812;2000;22,5992;
180812;2100;98,9637;
180812;2200;249,761;
180812;2300;97,1967;
180813;0000;72,2697;
180813;0100;227,642;
180813;0200;94,7584;
180813;0300;203,121;
180813;0400;187,172;
180813;0500;299,823;
180813;0600;136,079;
180813;0700;126,851;
180813;0800;265,379;
180813;0900;277,294;
180813;1000;266,588;
180813;1100;273,509;
180813;1200;266,306;
180813;1300;275,431;
180813;1400;253,172;
180813;1500;263,337;
180813;1600;255,432;
180813;1700;275,454;
180813;1800;269,52;
180813;1900;256,843;
180813;2000;273,742;
180813;2100;281,999;
180813;2200;271,794;
180813;2300;255,406;
180814;0000;249,393;
180814;0100;294,19;
180814;0200;34,0566;
180814;0300;119,861;
180814;0400;12,6659;
180814;0500;273,079;
180814;0600;275,455;
180814;0700;284,137;
180814;0800;263,08;
180814;0900;266,506;
180814;1000;280,362;
180814;1100;272,104;
180814;1200;278,215;
180814;1300;283,398;
180814;1400;276,505;
180814;1500;279,416;
180814;1600;274,742;
180814;1700;260,829;
180814;1800;259,733;
180814;1900;260,829;
180814;2000;273,38;
180814;2100;292,337;
180814;2200;294,422;
180814;2300;299,657;
180815;0000;247,31;
180815;0100;202,819;
180815;0200;200,394;
180815;0300;215,451;
180815;0400;179,329;
180815;0500;215,935;
180815;0600;227,516;
180815;0700;243,016;
180815;0800;251,554;
180815;0900;260,707;
180815;1000;293,637;
180815;1100;274,707;
180815;1200;278,11;
180815;1300;281,277;
180815;1400;276,436;
180815;1500;277,498;
180815;1600;272,518;
180815;1700;282,782;
180815;1800;282,732;
180815;1900;281,932;
180815;2000;298,115;
180815;2100;293,024;
180815;2200;29,1049;
180815;2300;88,2434;
180816;0000;78,9907;
180816;0100;74,3344;
180816;0200;60,0953;
180816;0300;72,9677;
180816;0400;83,0085;
180816;0500;86,8221;
180816;0600;7,0852;
180816;0700;72,6147;
180816;0800;69,9873;
180816;0900;58,4122;
180816;1000;50,6191;
180816;1100;342,691;
180816;1200;346,575;
180816;1300;303,142;
180816;1400;273,153;
180816;1500;274,806;
180816;1600;303,946;
180816;1700;283,226;
