FECHA (YYMMDD);HORA (HHMM);;
180811;0100;0,00374412;
180811;0200;0,00656194;
180811;0300;0,00263763;
180811;0400;0,00542253;
180811;0500;0,00265554;
180811;0600;0,00176799;
180811;0700;0,00275145;
180811;0800;0,00767916;
180811;0900;0,00714379;
180811;1000;0,0113927;
180811;1100;0,00659816;
180811;1200;0,0328187;
180811;1300;0,0139013;
180811;1400;0,00887835;
180811;1500;0,00702901;
180811;1600;0,00681972;
180811;1700;0,00541762;
180811;1800;0,00366084;
180811;1900;0,00767455;
180811;2000;0,00560942;
180811;2100;0,00732111;
180811;2200;0,00833462;
180811;2300;0,0342896;
180812;0000;0,033925;
180812;0100;0,0200433;
180812;0200;0,0100967;
180812;0300;0,0169375;
180812;0400;0,0185371;
180812;0500;0,0094092;
180812;0600;0,00858134;
180812;0700;0,00816476;
180812;0800;0,0031552;
180812;0900;0,00108378;
180812;1000;0,0207482;
180812;1100;0,0148578;
180812;1200;0,0265387;
180812;1300;0,00907218;
180812;1400;0,00857785;
180812;1500;0,0198609;
180812;1600;0,00882095;
180812;1700;0,00536177;
180812;1800;0,00220079;
180812;1900;0,00536058;
180812;2000;0,00386538;
180812;2100;0,00744832;
180812;2200;0,00185129;
180812;2300;0,0020577;
180813;0000;0,00304642;
180813;0100;0,00192746;
180813;0200;0,0143455;
180813;0300;0,00439907;
180813;0400;0,0024232;
180813;0500;0,00676034;
180813;0600;0,00704484;
180813;0700;0,00841798;
180813;0800;1,0832;
180813;0900;3,35569;
180813;1000;2,07438;
180813;1100;0,539105;
180813;1200;0,401057;
180813;1300;2,95745;
180813;1400;4,13424;
180813;1500;4,28987;
180813;1600;2,26413;
180813;1700;2,40187;
180813;1800;3,32472;
180813;1900;1,46825;
180813;2000;1,69434;
180813;2100;1,51607;
180813;2200;0,361851;
180813;2300;0,225081;
180814;0000;0,281281;
180814;0100;0,0280143;
180814;0200;0,00232154;
180814;0300;0,00688008;
180814;0400;0,00543499;
180814;0500;0,0780385;
180814;0600;1,20183;
180814;0700;3,05507;
180814;0800;0,571123;
180814;0900;1,3449;
180814;1000;4,07948;
180814;1100;1,48244;
180814;1200;3,19918;
180814;1300;3,97928;
180814;1400;2,4183;
180814;1500;3,05517;
180814;1600;3,36309;
180814;1700;0,995974;
180814;1800;0,620585;
180814;1900;0,803445;
180814;2000;0,037336;
180814;2100;0,0787551;
180814;2200;0,0385958;
180814;2300;0,00582066;
180815;0000;0,0102;
180815;0100;0,0164649;
180815;0200;0,0326077;
180815;0300;0,00663911;
180815;0400;0,0176293;
180815;0500;0,0187458;
180815;0600;0,0731688;
180815;0700;0,0464052;
180815;0800;0,124926;
180815;0900;0,112495;
180815;1000;1,71525;
180815;1100;0,93165;
180815;1200;2,2981;
180815;1300;4,4498;
180815;1400;3,09084;
180815;1500;2,40953;
180815;1600;3,02925;
180815;1700;1,63557;
180815;1800;1,71692;
180815;1900;3,20959;
180815;2000;0,96843;
180815;2100;0,0102554;
180815;2200;0,0640064;
180815;2300;0,239678;
180816;0000;0,029733;
180816;0100;0,159247;
180816;0200;0,0207465;
180816;0300;0,00924098;
180816;0400;0,00835118;
180816;0500;0,0308923;
180816;0600;0,0398398;
180816;0700;0,125614;
180816;0800;0,0624785;
180816;0900;0,123077;
180816;1000;0,461266;
180816;1100;0,292975;
180816;1200;1,63989;
180816;1300;3,96815;
180816;1400;1,94738;
180816;1500;1,22775;
180816;1600;3,38123;
180816;1700;0,954341;
180816;1800;0,372163;
180816;1900;0,277216;
180816;2000;0,0541559;
180816;2100;0,78904;
180816;2200;2,2315;
180816;2300;0,41865;
180817;0000;0,118853;
180817;0100;2,67421;
180817;0200;1,88169;
180817;0300;1,94772;
180817;0400;1,12348;
180817;0500;0,82661;
180817;0600;0,815677;
180817;0700;0,247571;
180817;0800;0,0021885;
180817;0900;1,96629;
180817;1000;0,415938;
180817;1100;0,0163011;
180817;1200;0,0411724;
180817;1300;0,0796374;
180817;1400;0,252615;
180817;1500;1,35035;
180817;1600;0,023017;
180817;1700;0,61375;
180817;1800;0,0222492;
180817;1900;0,198717;
180817;2000;0,0316463;
180817;2100;0,00829557;
180817;2200;0,213882;
180817;2300;0,0115359;
180818;0000;0,00357373;
180818;0100;0,00341829;
180818;0200;0,00388092;
180818;0300;0,198764;
180818;0400;0,217847;
180818;0500;0,150189;
180818;0600;0,107745;
180818;0700;0,136911;
180818;0800;0,23705;
180818;0900;1,38308;
180818;1000;1,96811;
180818;1100;2,19388;
180818;1200;1,50189;
180818;1300;2,9739;
180818;1400;2,07706;
180818;1500;2,59309;
180818;1600;1,07336;
180818;1700;0,710975;
180818;1800;1,34101;
180818;1900;0,168457;
180818;2000;0,0135142;
180818;2100;0,223985;
180818;2200;0,0238403;
180818;2300;0,0607869;
180819;0000;0,0131264;
180819;0100;0,00731769;
180819;0200;0,0139208;
180819;0300;0,0633537;
180819;0400;0,0323848;
180819;0500;0,00519205;
180819;0600;0,00491325;
180819;0700;0,00267529;
180819;0800;0,239847;
180819;0900;2,08314;
180819;1000;3,67391;
180819;1100;3,25905;
180819;1200;5,05105;
180819;1300;4,22536;
180819;1400;3,25259;
180819;1500;2,33838;
180819;1600;0,51822;
180819;1700;0,0707968;
180819;1800;0,00746192;
180819;1900;0,147524;
180819;2000;0,00788692;
180819;2100;0,0493478;
180819;2200;0,0100778;
180819;2300;0,0046827;
180820;0000;0,0046359;
180820;0100;0,00569957;
180820;0200;0,00213791;
180820;0300;0,007768;
180820;0400;0,00662792;
180820;0500;0,00678327;
180820;0600;0,00934725;
180820;0700;0,00930151;
180820;0800;0,00885993;
180820;0900;0,00778633;
180820;1000;0,00716277;
180820;1100;0,0142627;
180820;1200;0,00616777;
180820;1300;0,00602134;
180820;1400;0,0439031;
180820;1500;0,0120613;
180820;1600;0,224735;
180820;1700;0,495909;
180820;1800;0,0198668;
180820;1900;0,00306586;
180820;2000;0,00149755;
180820;2100;0,00679422;
180820;2200;0,00617199;
180820;2300;0,0730948;
180821;0000;0,0225441;
180821;0100;0,0550762;
180821;0200;0,0142566;
180821;0300;0,0569306;
180821;0400;0,00944021;
180821;0500;0,00929897;
180821;0600;0,0081127;
180821;0700;0,00746647;
180821;0800;0,00681238;
180821;0900;0,0088896;
180821;1000;0,00553516;
180821;1100;0,00627196;
180821;1200;0,0598913;
180821;1300;0,0895445;
180821;1400;0,448974;
180821;1500;1,02024;
180821;1600;0,541516;
180821;1700;0,00909436;
180821;1800;0,00440073;
180821;1900;0,00666654;
180821;2000;0,00873542;
180821;2100;0,00468182;
180821;2200;0,00477487;
180821;2300;0,00588731;
180822;0000;0,00486324;
180822;0100;0,00477089;
180822;0200;0,00812249;
180822;0300;0,00608552;
180822;0400;0,00526246;
180822;0500;0,00461219;
180822;0600;0,00584593;
180822;0700;0,00352285;
180822;0800;0,00805776;
180822;0900;0,0017161;
180822;1000;0,0377383;
180822;1100;0,00102302;
180822;1200;0,00900353;
180822;1300;0,00806923;
180822;1400;0,00368539;
180822;1500;0,00712963;
180822;1600;0,0274792;
180822;1700;0,00886279;
180822;1800;0,00815511;
180822;1900;0,0064432;
180822;2000;0,00200207;
180822;2100;0,039611;
180822;2200;0,0385347;
180822;2300;0,141125;
180823;0000;0,00286835;
180823;0100;0,00692175;
