FECHA (YYMMDD);HORA (HHMM);;
180811;0100;0,23286;
180811;0200;0,390636;
180811;0300;0,427763;
180811;0400;0,640575;
180811;0500;0,248546;
180811;0600;0,287772;
180811;0700;0,666075;
180811;0800;0,221485;
180811;0900;0,538227;
180811;1000;0,847232;
180811;1100;0,904599;
180811;1200;1,38161;
180811;1300;1,05009;
180811;1400;1,58998;
180811;1500;1,18633;
180811;1600;0,670058;
180811;1700;0,554761;
180811;1800;2,13405;
180811;1900;1,62569;
180811;2000;0,560959;
180811;2100;0,473591;
180811;2200;0,513761;
180811;2300;1,19373;
180812;0000;1,16335;
180812;0100;1,27204;
180812;0200;1,04523;
180812;0300;0,897992;
180812;0400;0,888649;
180812;0500;0,983607;
180812;0600;0,9864;
180812;0700;0,466043;
180812;0800;0,154092;
180812;0900;0,731231;
180812;1000;1,56339;
180812;1100;2,2291;
180812;1200;1,64779;
180812;1300;1,90342;
180812;1400;1,57631;
180812;1500;2,08938;
180812;1600;1,57377;
180812;1700;0,40794;
180812;1800;0,270446;
180812;1900;0,354502;
180812;2000;0,306344;
180812;2100;0,752395;
180812;2200;0,240721;
180812;2300;0,389857;
180813;0000;0,356365;
180813;0100;0,563365;
180813;0200;0,698409;
180813;0300;0,523928;
180813;0400;0,550769;
180813;0500;0,445532;
180813;0600;0,9841;
180813;0700;0,506334;
180813;0800;3,76935;
180813;0900;5,58318;
180813;1000;5,61719;
180813;1100;3,61164;
180813;1200;3,01558;
180813;1300;5,4848;
180813;1400;6,93862;
180813;1500;6,13007;
180813;1600;4,52826;
180813;1700;4,77995;
180813;1800;5,37021;
180813;1900;4,13151;
180813;2000;4,11377;
180813;2100;2,94934;
180813;2200;3,43162;
180813;2300;2,74877;
180814;0000;2,57949;
180814;0100;1,57627;
180814;0200;0,231952;
180814;0300;0,577895;
180814;0400;0,775962;
180814;0500;1,53311;
180814;0600;2,88212;
180814;0700;3,8483;
180814;0800;3,81986;
180814;0900;4,34883;
180814;1000;6,82607;
180814;1100;5,34034;
180814;1200;6,6555;
180814;1300;6,8148;
180814;1400;6,30182;
180814;1500;5,94531;
180814;1600;5,9215;
180814;1700;4,23509;
180814;1800;3,37916;
180814;1900;2,89226;
180814;2000;1,37492;
180814;2100;1,69677;
180814;2200;1,07003;
180814;2300;0,948815;
